,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
211,2021-01-03 04:45:00,1028.048,79.394,7.045,3.721,358.418,3.209
212,2021-01-03 05:00:00,1028.087,79.65,7.036,3.758,359.623,3.17
213,2021-01-03 05:15:00,1028.131,79.957,7.02,3.796,359.573,3.081
214,2021-01-03 05:30:00,1028.175,80.32,6.994,3.835,358.894,2.955
215,2021-01-03 05:45:00,1028.21,80.735,6.954,3.869,358.616,2.809
216,2021-01-03 06:00:00,1028.23,81.194,6.895,3.893,0.0,2.656
217,2021-01-03 06:15:00,1028.231,81.669,6.822,3.906,4.125,2.519
218,2021-01-03 06:30:00,1028.227,82.035,6.769,3.92,10.239,2.413
219,2021-01-03 06:45:00,1028.236,82.142,6.78,3.948,16.822,2.335
220,2021-01-03 07:00:00,1028.277,81.844,6.895,4.007,22.26,2.256
221,2021-01-03 07:15:00,1028.363,81.056,7.142,4.107,25.363,2.138
222,2021-01-03 07:30:00,1028.482,79.961,7.479,4.24,26.184,2.001
223,2021-01-03 07:45:00,1028.617,78.807,7.848,4.392,24.96,1.893
224,2021-01-03 08:00:00,1028.752,77.842,8.19,4.552,22.188,1.865
225,2021-01-03 08:15:00,1028.87,77.241,8.462,4.709,19.039,1.956
226,2021-01-03 08:30:00,1028.96,76.89,8.68,4.856,16.976,2.133
227,2021-01-03 08:45:00,1029.011,76.6,8.875,4.99,16.811,2.346
228,2021-01-03 09:00:00,1029.014,76.185,9.079,5.106,18.895,2.544
229,2021-01-03 09:15:00,1028.958,75.502,9.314,5.203,23.342,2.705
230,2021-01-03 09:30:00,1028.845,74.595,9.574,5.28,29.473,2.856
231,2021-01-03 09:45:00,1028.677,73.552,9.846,5.34,36.405,3.033
232,2021-01-03 10:00:00,1028.457,72.462,10.115,5.386,43.243,3.259
233,2021-01-03 10:15:00,1028.189,71.41,10.369,5.42,49.265,3.534
234,2021-01-03 10:30:00,1027.89,70.463,10.598,5.447,54.217,3.824
235,2021-01-03 10:45:00,1027.579,69.685,10.792,5.473,58.138,4.088
236,2021-01-03 11:00:00,1027.274,69.14,10.943,5.505,61.168,4.284
237,2021-01-03 11:15:00,1026.992,68.861,11.047,5.546,63.474,4.382
238,2021-01-03 11:30:00,1026.735,68.768,11.114,5.591,65.239,4.397
239,2021-01-03 11:45:00,1026.501,68.749,11.163,5.633,66.556,4.357
240,2021-01-03 12:00:00,1026.29,68.695,11.208,5.665,67.439,4.289
241,2021-01-03 12:15:00,1026.099,68.52,11.264,5.681,67.822,4.218
242,2021-01-03 12:30:00,1025.928,68.246,11.328,5.685,67.483,4.155
243,2021-01-03 12:45:00,1025.776,67.92,11.396,5.68,66.158,4.105
244,2021-01-03 13:00:00,1025.642,67.588,11.462,5.673,63.595,4.08
245,2021-01-03 13:15:00,1025.526,67.303,11.522,5.669,59.796,4.103
246,2021-01-03 13:30:00,1025.438,67.141,11.568,5.678,55.643,4.205
247,2021-01-03 13:45:00,1025.384,67.18,11.594,5.711,52.258,4.404
248,2021-01-03 14:00:00,1025.375,67.501,11.594,5.781,50.56,4.702
249,2021-01-03 14:15:00,1025.415,68.17,11.56,5.893,50.827,5.087
250,2021-01-03 14:30:00,1025.486,69.198,11.49,6.045,52.044,5.517
251,2021-01-03 14:45:00,1025.565,70.584,11.381,6.228,53.198,5.939
252,2021-01-03 15:00:00,1025.629,72.325,11.231,6.433,53.573,6.295
253,2021-01-03 15:15:00,1025.663,74.379,11.041,6.651,52.79,6.539
254,2021-01-03 15:30:00,1025.674,76.548,10.827,6.86,51.197,6.682
255,2021-01-03 15:45:00,1025.679,78.593,10.611,7.038,49.234,6.749
256,2021-01-03 16:00:00,1025.692,80.276,10.414,7.161,47.306,6.759
257,2021-01-03 16:15:00,1025.728,81.425,10.252,7.216,45.734,6.726
258,2021-01-03 16:30:00,1025.793,82.14,10.126,7.221,44.496,6.666
259,2021-01-03 16:45:00,1025.894,82.586,10.031,7.206,43.494,6.596
260,2021-01-03 17:00:00,1026.037,82.93,9.964,7.198,42.646,6.535
261,2021-01-03 17:15:00,1026.222,83.304,9.92,7.219,41.905,6.5
262,2021-01-03 17:30:00,1026.422,83.702,9.899,7.268,41.357,6.499
263,2021-01-03 17:45:00,1026.605,84.083,9.899,7.335,41.115,6.539
264,2021-01-03 18:00:00,1026.74,84.405,9.921,7.413,41.28,6.624
265,2021-01-03 18:15:00,1026.804,84.639,9.961,7.493,41.893,6.757
