,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
225,2021-01-03 08:15:00,878.368,73.336,-16.866,-20.51,287.108,3.866
226,2021-01-03 08:30:00,878.449,73.065,-16.804,-20.493,286.57,3.91
227,2021-01-03 08:45:00,878.537,72.841,-16.758,-20.484,286.069,3.952
228,2021-01-03 09:00:00,878.626,72.675,-16.742,-20.494,285.787,3.997
229,2021-01-03 09:15:00,878.711,72.561,-16.761,-20.53,285.844,4.052
230,2021-01-03 09:30:00,878.794,72.422,-16.784,-20.574,286.122,4.112
231,2021-01-03 09:45:00,878.877,72.164,-16.767,-20.598,286.453,4.175
232,2021-01-03 10:00:00,878.964,71.695,-16.668,-20.58,286.678,4.236
233,2021-01-03 10:15:00,879.057,70.96,-16.458,-20.498,286.632,4.291
234,2021-01-03 10:30:00,879.149,70.061,-16.163,-20.363,286.095,4.34
235,2021-01-03 10:45:00,879.231,69.139,-15.821,-20.186,284.837,4.386
236,2021-01-03 11:00:00,879.294,68.335,-15.472,-19.984,282.638,4.434
237,2021-01-03 11:15:00,879.332,67.743,-15.145,-19.768,279.446,4.495
238,2021-01-03 11:30:00,879.35,67.275,-14.834,-19.55,275.828,4.579
239,2021-01-03 11:45:00,879.355,66.794,-14.524,-19.338,272.474,4.688
240,2021-01-03 12:00:00,879.357,66.164,-14.201,-19.141,270.0,4.808
241,2021-01-03 12:15:00,879.359,65.292,-13.854,-18.967,268.789,4.927
242,2021-01-03 12:30:00,879.355,64.254,-13.497,-18.816,268.614,5.063
243,2021-01-03 12:45:00,879.335,63.17,-13.152,-18.685,269.131,5.241
244,2021-01-03 13:00:00,879.29,62.159,-12.837,-18.573,270.0,5.493
245,2021-01-03 13:15:00,879.213,61.313,-12.569,-18.477,270.927,5.836
246,2021-01-03 13:30:00,879.11,60.617,-12.344,-18.398,271.792,6.246
247,2021-01-03 13:45:00,878.991,60.028,-12.154,-18.334,272.55,6.684
248,2021-01-03 14:00:00,878.864,59.503,-11.992,-18.286,273.186,7.115
249,2021-01-03 14:15:00,878.738,59.014,-11.853,-18.253,273.706,7.506
250,2021-01-03 14:30:00,878.62,58.591,-11.742,-18.233,274.143,7.851
251,2021-01-03 14:45:00,878.513,58.278,-11.666,-18.223,274.529,8.149
252,2021-01-03 15:00:00,878.424,58.118,-11.631,-18.222,274.888,8.399
253,2021-01-03 15:15:00,878.356,58.152,-11.643,-18.226,275.237,8.602
254,2021-01-03 15:30:00,878.317,58.405,-11.702,-18.229,275.568,8.763
255,2021-01-03 15:45:00,878.312,58.895,-11.804,-18.227,275.872,8.89
256,2021-01-03 16:00:00,878.348,59.644,-11.947,-18.214,276.136,8.992
257,2021-01-03 16:15:00,878.428,60.66,-12.129,-18.189,276.353,9.072
258,2021-01-03 16:30:00,878.545,61.905,-12.357,-18.165,276.544,9.126
259,2021-01-03 16:45:00,878.691,63.328,-12.637,-18.163,276.738,9.146
260,2021-01-03 17:00:00,878.857,64.88,-12.976,-18.2,276.963,9.126
261,2021-01-03 17:15:00,879.035,66.507,-13.374,-18.29,277.247,9.057
262,2021-01-03 17:30:00,879.218,68.138,-13.804,-18.418,277.628,8.936
263,2021-01-03 17:45:00,879.401,69.698,-14.234,-18.564,278.146,8.76
264,2021-01-03 18:00:00,879.578,71.113,-14.631,-18.709,278.852,8.527
265,2021-01-03 18:15:00,879.747,72.317,-14.969,-18.836,279.779,8.24
266,2021-01-03 18:30:00,879.909,73.277,-15.246,-18.95,280.835,7.934
267,2021-01-03 18:45:00,880.068,73.97,-15.471,-19.058,281.863,7.647
268,2021-01-03 19:00:00,880.226,74.372,-15.65,-19.168,282.662,7.419
269,2021-01-03 19:15:00,880.387,74.483,-15.789,-19.287,283.058,7.273
270,2021-01-03 19:30:00,880.545,74.398,-15.901,-19.408,283.129,7.193
271,2021-01-03 19:45:00,880.694,74.235,-15.995,-19.525,283.044,7.152
272,2021-01-03 20:00:00,880.829,74.113,-16.084,-19.63,282.983,7.123
273,2021-01-03 20:15:00,880.946,74.119,-16.176,-19.718,283.089,7.084
274,2021-01-03 20:30:00,881.052,74.211,-16.267,-19.792,283.352,7.044
275,2021-01-03 20:45:00,881.159,74.317,-16.349,-19.855,283.721,7.016
276,2021-01-03 21:00:00,881.275,74.365,-16.415,-19.912,284.141,7.015
277,2021-01-03 21:15:00,881.409,74.296,-16.461,-19.967,284.552,7.048
278,2021-01-03 21:30:00,881.554,74.118,-16.492,-20.025,284.893,7.102
279,2021-01-03 21:45:00,881.702,73.852,-16.515,-20.089,285.108,7.157
280,2021-01-03 22:00:00,881.845,73.521,-16.538,-20.164,285.147,7.194
281,2021-01-03 22:15:00,881.974,73.142,-16.567,-20.251,284.987,7.198
282,2021-01-03 22:30:00,882.091,72.716,-16.595,-20.345,284.715,7.164
283,2021-01-03 22:45:00,882.197,72.243,-16.613,-20.439,284.443,7.096
284,2021-01-03 23:00:00,882.295,71.718,-16.614,-20.524,284.288,6.993
285,2021-01-03 23:15:00,882.385,71.149,-16.592,-20.596,284.338,6.86
286,2021-01-03 23:30:00,882.465,70.574,-16.558,-20.657,284.542,6.711
287,2021-01-03 23:45:00,882.533,70.04,-16.526,-20.713,284.806,6.566
288,2021-01-04 00:00:00,882.515,72.583,-17.405,-21.151,285.533,5.266
289,2021-01-04 00:15:00,882.57,72.733,-17.482,-21.201,285.764,5.223
290,2021-01-04 00:30:00,882.617,72.943,-17.576,-21.259,286.296,5.17
291,2021-01-04 00:45:00,882.652,73.111,-17.667,-21.321,287.019,5.109
292,2021-01-04 01:00:00,882.669,73.14,-17.736,-21.383,287.818,5.038
293,2021-01-04 01:15:00,882.667,72.957,-17.768,-21.443,288.589,4.958
294,2021-01-04 01:30:00,882.652,72.613,-17.778,-21.507,289.287,4.877
295,2021-01-04 01:45:00,882.629,72.187,-17.784,-21.58,289.871,4.803
296,2021-01-04 02:00:00,882.608,71.759,-17.806,-21.669,290.298,4.746
297,2021-01-04 02:15:00,882.593,71.393,-17.858,-21.777,290.533,4.713
298,2021-01-04 02:30:00,882.583,71.091,-17.933,-21.898,290.598,4.694
299,2021-01-04 02:45:00,882.578,70.839,-18.018,-22.02,290.536,4.678
300,2021-01-04 03:00:00,882.573,70.623,-18.1,-22.135,290.389,4.654
301,2021-01-04 03:15:00,882.569,70.429,-18.172,-22.235,290.198,4.613
302,2021-01-04 03:30:00,882.57,70.242,-18.234,-22.325,290.0,4.561
303,2021-01-04 03:45:00,882.581,70.045,-18.292,-22.414,289.838,4.505
304,2021-01-04 04:00:00,882.609,69.822,-18.354,-22.509,289.753,4.456
305,2021-01-04 04:15:00,882.655,69.564,-18.42,-22.615,289.765,4.42
306,2021-01-04 04:30:00,882.706,69.287,-18.486,-22.724,289.778,4.399
307,2021-01-04 04:45:00,882.746,69.013,-18.543,-22.823,289.668,4.393
308,2021-01-04 05:00:00,882.758,68.767,-18.581,-22.9,289.311,4.402
309,2021-01-04 05:15:00,882.731,68.566,-18.594,-22.946,288.633,4.426
